KODE APOTIK,Nama,Alamat,NPWP,NPPKP,PBF,SIPA,no_ijin,nama_apj,kode_petugas,delete_reason,Status,Latitude,Longitude,Kode Pos,Provinsi,Kabupaten,Kecamatan,Kelurahan,Kontak,validasi
Apt.TNJ,Apotek Tanjung,"Jl. Abdul Latief, Tanjung, Bakalan, Kec. Polokarto, Kabupaten Sukoharjo, Jawa Tengah 57555",,,,,,,,,active,-7.647296913,110.8651893,57555,JAWA TENGAH,,,Sukoharjo,"0271 7566014, 081329598110",
Apt.TNKR,Apotek Tingkir,"Jl. Soekarno Hatta, Cebongan, Kec. Argomulyo, Kota Salatiga, Jawa Tengah 50736",,,,,,,,,active,-7.363379247,110.5140206,50736,JAWA TENGAH,,,Salatiga,0298 324216,
Apt.TPR01,Apotek Tiphara,Jl. Gajah Mada 61,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Surakarta,(0271) 729039,
Apt.TRNS,Apotek Transito,"Jl. Transito No.9, Dusun I, Pajang, Kec. Laweyan, Kabupaten Sukoharjo, Jawa Tengah 57147",,,,,,,,,active,-7.566033403,110.7832986,57147,JAWA TENGAH,,,Kartasura,"0271 730041, 087835288062",
APT.TRNSHT,Apotek Taruna Sehat,"Jl. Jaya Wijaya, Mojosongo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57127",,,,,,,,,active,-7.538138018,110.84422,57127,JAWA TENGAH,,,Surakarta,085100517237 / 08174920434,
Apt.TRSN,Apotek Tresna Sehat,Jl. Ki Hajar Dewantara 10 Pedaringan,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Kentingan Solo,0271 631141,
APT.TRSNMT,Apotek Trisna Mentoro,"Jl. Kh. Maghribi, Krajan, Mentoro, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63518",,,,,,,,,active,-8.192651655,111.1308423,63518,JAWA TENGAH,,,Pacitan,0819 4483 6262,
Apt.TRSYM,Apotek Tersenyum,"Gunung Sari Rt 04/VI, Sobokerto",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,BYL,0271 2029233,
APT.TRTMY,APOTEK TIRTOMOYO,"KIOS 19-20, TERM.TIRTOMOYO",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,WONOGIRI,,
Apt.TRWS,Apotek Trowangsan,Jl. Adi Sumarmo Malang Jiwan,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Colomadu BYL,0271 7550466,
apt.try,APOTEK TORIYO,"Toriyo, Kec. Bendosari, Kabupaten Sukoharjo, Jawa Tengah 57528",,,,,,,,,active,-7.672496703,110.8550177,57528,JAWA TENGAH,,,SUKOHARJO,,
Apt.TSKMD,Apotek Tasikmadu,"Jl. Jend. Gatot Subroto Nglano, Nglangkang, Pandeyan, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 57721",,,,,,,,,active,-7.573287359,110.9300732,57721,JAWA TENGAH,,,KRA,0271 6398062,
Apt.TTSHT,Apotek Titihan Sehat,"Jl. Jend. Ahmad Yani No.15, Danguran, Kec. Klaten Sel., Kabupaten Klaten, Jawa Tengah 57425",,,,,,,,,active,-7.7279597,110.5863069,57425,JAWA TENGAH,,,Klaten,0272 3110903,
Apt.TW,Apotek Tawang Farma," Jl. Patimura, Dusun I, Tawang, Kec. Weru, Kabupaten Sukoharjo, Jawa Tengah 57562",,,,,,,,,active,-7.757364425,110.7597219,57562,JAWA TENGAH,,,SKH,,
Apt.TYF,Apotek TYAs FArma,"Jl. KH. Saman Hudi C57, Jetis",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sukoharjo,"0271 70533340, 085642213011",
Apt.U2,Apotek U2 FArma,"Ps. Senggol, Kemiri, CAndirejo, Ngawen.",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Klaten,,
Apt.UGLF,Apotek Unggul Farma,"Jl. Kyai Mojo No.23, RW.23, Kelurahan Mojo, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57191",,,,,,,,,active,-7.588487704,110.838234,57191,JAWA TENGAH,,,Surakarta,0271 5805377,
Apt.UMBFRM,"Apotek Umbul FArma,KTS",Jl. Diponegoro 90 KTS,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Kartosuro,0271 7954851,
Apt.UNF,Apotek Uniex FArma,"Jl. Pedan-Cawas, Dusun II, Cawas, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463",,,,,,,,,active,-7.759032742,110.6930742,57463,JAWA TENGAH,,,Klaten,85878772630,
Apt.Ushbar,Apotek Usaha Baru,"Jl. Patimura, Kauman Kidul, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50712",,,,,,,,,active,-7.304031037,110.5099132,50712,JAWA TENGAH,,,SALATIGA,,
Apt.ushwrs,Apotek Usaha Waras,"Jl. Raya Salatiga Muncul No.km 3, Bandungan, Gedangan, Kec. Tuntang, Kabupaten Semarang, Jawa Tengah",,,,,,,,,active,-7.328491691,110.4616883,,JAWA TENGAH,,,SALATIGA,,
Apt.UTMSHT,Apotek Utama Sehat,"Pucangsawit, Kec. Jebres, Kota Surakarta, Jawa Tengah",,,,,,,,,active,-7.566700453,110.8544419,,JAWA TENGAH,,,Surakarta,,
Apt.VDR,Apotek Widari,"Jl. Plumbon Mojolaban Sukoharjo, Plumbon Kulon, Wirun, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554",,,,,,,,,active,-7.597962519,110.8556691,57554,JAWA TENGAH,,,Sukoharjo,"0271 612726, 611055",
Apt.VHR,Apotek Vihari,"Jl. Slamet Riyadi No.273, Penumping, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141",,,,,,,,tutup permanen,deleted,,,57141,JAWA TENGAH,,,Surakarta,0271 728562,
Apt.VKF,Apotek Vikha FArma,"Jl. Delanggu- Polanharjo No.235, Palemsari Kulon, Ponggok, Kec. Polanharjo, Kabupaten Klaten, Jawa Tengah 57474",,,,,,,,,active,-7.614531101,110.6361427,57474,JAWA TENGAH,,,Klaten,81329551421,
APT.VLAFRM,APOTEK VELLA FARMA,"Terminal Bus Type C, Punung, Kec. Punung, Kabupaten Pacitan, Jawa Timur 63553",,,,,,,,,active,-8.137197052,111.015373,63553,JAWA TENGAH,,,"PUNUNG, PACITAN",82221055858,
APT.VNDA,APOTEK VINDA,"Jl. Dalangan-Tawangsari, Tiga, Kateguhan, Kec. Tawangsari, Kabupaten Sukoharjo, Jawa Tengah 57561",,,,,,,,,active,-7.734603115,110.797259,57561,JAWA TENGAH,,,SUKOHARJO,85741630301,
APT.VNTFRM,APOTEK VINTAN FARMA,"Jl. Dalangan-Tawangsari, Tiga, Kateguhan, Kec. Tawangsari, Kabupaten Sukoharjo, Jawa Tengah 57561",,,,,,,,,active,-7.707436181,110.8197684,57561,JAWA TENGAH,,,SUKOHARJO,0856 0208 8211,
Apt.VRSM,Apotek Faras Medika,"Jl. Cawas-Weru, Dukuh, Barepan, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463",,,,,,,,,active,-7.764633387,110.706837,57463,JAWA TENGAH,,,Klaten,85743829110,
Apt.VT,Apotek Vita,"Jl. Klaten - Solo, Sumber Lor, Jombor, Kec. Ceper, Kabupaten Klaten, Jawa Tengah 57465",,,,,,,,,active,-7.68549496,110.6427504,57465,JAWA TENGAH,,,Klaten,0272 3111668,
Apt.VTO,Apotek Vito,"Jalan Baturan Indah, Raya RTB No.31, Klemburan, Baturan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57171",,,,,,,,,active,-7.545044757,110.7896042,57171,JAWA TENGAH,,,Fajar Indah - Solo,(0271) 720644,
Apt.vvdw,Apotek VIVA DEWI,"Plesungan, Karangpandan, Kec. Karangpandan, Kabupaten Karanganyar, Jawa Tengah 57791",,,,,,,,,active,-7.618024895,111.0638661,57791,JAWA TENGAH,,,KRA,,
Apt.wanaki,Apotek Wanakilis Farma,"Jl. Kahar Muzakir, Semanggi, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57117",,,,,,,,,active,-7.59096464,110.830778,57117,JAWA TENGAH,,,SURAKARTA,,
apt.WDR,PT. PHARMASI WIDURAN (Apotek Widuran),"Jl. Sutan Syahrir No.101, Kepatihan Kulon, Kec. Jebres, Kota Surakarta, Jawa Tengah 57133",,,,,,,,,active,-7.564739147,110.8283709,57133,JAWA TENGAH,,,Surakarta,0271 633045,
Apt.WDY,"Apotek Widya, Pacitan","Kriyan, Sidoharjo, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63514",,,,,,,,,active,-8.2102665,111.086217,63514,JAWA TENGAH,,,"Sidoharjo, Pacitan",,
Apt.WDYF,Apotek Widya Farma,"Jl. Raya Timur, Kebayanan Pedakan, Bener, Kec. Ngrampal, Kabupaten Sragen, Jawa Tengah 57252",,,,,,,,,active,-7.402010425,111.0606013,57252,JAWA TENGAH,,,Sragen,0271 8825079,
Apt.WDYHSD,Apotek Widya Husada,"Jl. Rajawali No. 6, Mojo Tegalsari, SKH",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sukoharjo,0271 7974669,
Apt.WHYF,Apotek Wahyu Farma,"Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",,,,,,,,,active,-7.551013868,110.8140412,57139,JAWA TENGAH,,,Solo,0271 714881,
Apt.WHYMLA,Apotek Wahyu Mulia," Jl. Adi Sumarmo, Gedongan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57173",,,,,,,,,active,-7.533881286,110.7764302,57173,JAWA TENGAH,,,Karanganyar,,
Apt.WHYSHT,Apotek Wahyu Sehat," Jl. WR. Supratman, Dusun II, Kadilangu, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556",,,,,,,,,active,-7.611042394,110.7834849,57556,JAWA TENGAH,,,Sukoharjo,(0271) 624324,
Apt.widoro,Apotek Widoro Sumber Slamet PCT,"Jl. Tentara Pelajar No.35, Ngetol, Widoro, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63518",,,,,,,,,active,-8.17849226,111.1186866,63518,JAWA TENGAH,,,PACITAN,,
Apt.WJKSM,Apotek Wija Kusuma,"Jl. Randusari-Kopen KM 4, Beji 01/01",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Boyolali,81329678313,
Apt.WJY01,Apotek Wijaya,Jl. Gajah Mada 69,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Solo,"(0271) 713052, Ibu Nunik",
Apt.WJY02,Apotek Wijaya,"Jl. Pramuka, Godean, Wirun, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554",,,,,,,,,active,-7.603627281,110.8661545,57554,JAWA TENGAH,,,Sukoharjo,(0271) 611933,
Apt.WJYKSM,Apotek Wijaya Kusuma,"Jl. Slamet Riyadi No.468, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144",,,,,,,,,active,-7.562436374,110.7978806,57144,JAWA TENGAH,,,Surakarta,0271 734456,
Apt.WLMY,Apotek Walumulyo,"Gg. Blimbing No.1, Dusun II, Blimbing, Kec. Gatak, Kabupaten Sukoharjo, Jawa Tengah 57557",,,,,,,,,active,-7.596117364,110.7398024,57557,JAWA TENGAH,,,Sukoharjo,0271 7510231,
Apt.wlnlnt,Apotek Wulan Lintang,"Jl. Tarumanegara Utama, RT.03/RW.09, Banyuanyar, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57137",,,,,,,,,active,-7.535493892,110.8039652,57137,JAWA TENGAH,,,SURAKARTA,,
APT.WNG,APOTEK WONOGIRI,"Jl. Jend. Sudirman No.24, Gerdu, Giripurwo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57612",,,,,,,,,active,-7.814171506,110.9237228,57612,JAWA TENGAH,,,WONOGIRI,,
Apt.WNRJ,Apotek Wonorejo,Jl. Durian No. 25 KRA,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Karanganyar,0271 8500036,
Apt.WP01,Apotek Wahyu Putra,"Jl. Slamet Riyadi No.136A, Dusun IV, Kartasura, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169",,,,,,,,,active,-7.556650304,110.7441178,57169,JAWA TENGAH,,,Kartasuro,(0271) 780315,
APT.WRGFRM,APOTEK WARGA FARMA,jln Wonogiri-Purwantoro Km 25 WNG,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,WNG,85728218385,
Apt.WRGRJ,Apotek Waringin Rejo,"Jl. Semen Romo Cemani No.102, Ngruki, Cemani, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.585552963,110.812515,57552,JAWA TENGAH,,,Sukoharjo,0271 7890366,
Apt.WRS,Apotek Waras,"Joho, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57513",,,,,,,,,active,-7.690447201,110.8454167,57513,JAWA TENGAH,,,Sukoharjo,8172857195,
Apt.WRSKRA,"Apotek Waras, KRA","Jl. Lawu No. 21, KRA",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KRA,81320417669,
Apt.wrsn,Apotek Wirasana Purbalingga,"Jl. Veteran No.16, Wirasana, Kec. Purbalingga, Kabupaten Purbalingga, Jawa Tengah 53318",,,,,,,,,active,-7.379675023,109.3695576,53318,JAWA TENGAH,,,PURBALINGGA,,
APT.WRSSHT,APOTEK WARIS SEHAT,"Gandekan, pucangan kartasura, 57167, Dusun IV, Pucangan, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57168",,,,,,,,,active,-7.567919016,110.7395038,57168,JAWA TENGAH,,,KTS,85702400276,
Apt.YAHRI,Apotek Yahri,"Kebyanan 3, Krikilan, Kec. Masaran, Kabupaten Sragen, Jawa Tengah",,,,,,,,,active,-7.460562744,110.9366381,,JAWA TENGAH,,,Sragen,0856 4558 0584,
Apt.YG,Apotek Yoga,"punukan kidul, RT.02/RW.16, Pingit, Ngadiluwih, Kec. Matesih, Kabupaten Karanganyar, Jawa Tengah 57716",,,,,,,,tutup permanen,deleted,,,57716,JAWA TENGAH,,,KRA,,
Apt.YGKRA,"Apotek Yoga Farma, BYL","Welar 03/06 Pandeyan, Ngemplak BYL",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,BYL,,
Apt.YLT,Apotek Yulita,"Jalan Raya Solo-Daleman, Dusun 2, Gedangan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.604488305,110.7955383,57552,JAWA TENGAH,,,Gedangan SKH,81327692952,
Apt.YNF,Apotek Yuni Farma,"Garuda, Gumulan, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57417",,,,,,,,,active,-7.712880073,110.6151352,57417,JAWA TENGAH,,,Klaten,816563626,
Apt.YNMDK,Apotek Yena Medika,"Jl. Kyai H. Ahmad Dahlan, Dusun II, Kerun Baru, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57452",,,,,,,,,active,-7.762649679,110.6946556,57452,JAWA TENGAH,,,Klaten,"081328158008, 085722281727",
Apt.YNMF,Apotek Yunmay Farma,"Dusun I, Juwiran, Kec. Juwiring, Kabupaten Klaten, Jawa Tengah 57472",,,,,,,,,active,-7.66453009,110.7259777,57472,JAWA TENGAH,,,Klaten,,
Apt.YshF,Apotek Yash Farmacia,"Jl. Ahmad Yani No.245, Sumbergudeg, Nangkaan, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68215",,,,,,,,,active,-7.928474555,113.8153587,68215,JAWA TENGAH,,,BONDOWOSO,82231792779,
Apt.YSMN,Apotek Yasmin,"Jalan Ahmad Yani, Giripurwo, Wonogiri, Salak, Giripurwo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57612",,,,,,,,,active,-7.808975512,110.9239286,57612,JAWA TENGAH,,,Giripurwo,81229879507,
Apt.Zafira,Apotek Zafira Farma,"Jl. Brigif, RT.3/RW.19, Turisari, Palur, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554",,,,,,,,,active,-7.574051198,110.8617664,57554,JAWA TENGAH,,,SUKOHARJO,,
Apt.ZDNF,Apotek Zidni Ilham Farma,"Jl. Dalangan-Tawangsari, Tiga, Kateguhan, Kec. Tawangsari, Kabupaten Sukoharjo, Jawa Tengah 57561",,,,,,,,,active,-7.73376361,110.797368,57561,JAWA TENGAH,,,Sukoharjo,,
Apt.ZDNFRM,Apotek Zidna Farma,"Lawangsari No.Rt 04, Kebayanan 4, Mojopuro, Kec. Sumberlawang, Kabupaten Sragen, Jawa Tengah 57272",,,,,,,,,active,-7.324763418,110.8747992,57272,JAWA TENGAH,,,Sragen,,
Apt.ZHFASD,Apotek Zhafy Ahsanda,"Jl. RAjawali Raya 74 03/11, Gonilan",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KTS,85725005006,
Apt.zhrf,Apotek Zahra Farma," Jl. Randusari - Klaten, Dusun III, Randusari, Kec. Teras, Kabupaten Boyolali, Jawa Tengah 57482",,,,,,,,,active,-7.553702139,110.6410224,57482,JAWA TENGAH,,,BYL,,
Apt.ziyyaf,Apotek Ziyya Farma,Lemahbang rt 04 rw 01 bangsri kr.pandan kra,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KARANGANYAR,,
Apt.Zlvfrm,Apotek Zalva Farma,"Jl. Semarang - Surakarta, Kaligandu, Butuh, Kec. Tengaran, Kabupaten Semarang, Jawa Tengah 50775",,,,,,,,,active,-7.395026088,110.5139744,50775,JAWA TENGAH,,,SALATIGA,,
Apt.ZWRSHT,Apotek Zawira Sehat,"Jl. Mangesti Luhur, RT.002/RW.003, Gentan, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556",,,,,,,,,active,-7.585161134,110.7778214,57556,JAWA TENGAH,,,SKH,,
Apt.ZZ,Apotek Zam Zam,"Bicak 20/09, Brangkal, Wedi, KLT",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Klaten,,
DK.PSSPT,UPT.DINKES PUSKESMAS SAPTOSARI,"Jl. Pantai Sel. Jawa, Bulurejo, Kepek, Kec. Saptosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55871",,,,,,,,,active,-8.046506212,110.5172008,55871,JAWA TENGAH,,,,,
KLK.AM,Klinik Pratama Rawat Jalan Aisyah Medika,"Jl. Bunga Raya No.1, Dusun I, Purbayan, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556",,,,,,,,,active,-7.573990324,110.7730739,57556,JAWA TENGAH,,,SUKOHARJO,,
Klk.AMHSD,"Klinik Amin Husada, Kedu","Jl. RAya Kedu, Tewmanggung",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,,,
KLK.PMI,Klinik Pratama Rawat Jalan PMI boyolali,jl. randu asri (ngebong) siswodipuran byl,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,BOYOLALI,,
KLK.PMS,Klinik Pratama Mutiara Sehat,"Tambakrejo RT 02 / RW 01, Tiyaran,Bulu, Kabupaten Sukoharjo, Jawa Tengah Brengalan, Brengalan, Tiyaran, Kec. Bulu, Kabupaten Sukoharjo, Jawa Tengah 57563",,,,,,,,,active,-7.773165537,110.8524854,57563,JAWA TENGAH,,,SKH,,
KLK.WRSMDK,Klinik Waris Medika,"Jl. Karangjati Batangan, Kebayanan II, Donoyudan, Kec. Kalijambe, Kabupaten Sragen, Jawa Tengah 57275",,,,,,,,,active,-7.418861478,110.7775062,57275,JAWA TENGAH,,,Sragen,,
KLN.FRNHSD,Klinik Firena Husada,"Jl. Cendana No.65 RT 02/10, Poncobudoyo, Pulisen, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57315",,,,,,,,,active,-7.528549062,110.5908747,57315,JAWA TENGAH,,,Boyolali,0276-325396,
Kln.GTMDK,Klinik Gita Medika,"Jalan Sragen-Balong Km 7, Ngarum, Ngrampal, Kebayanan Waret, Ngarum, Kec. Sragen, Kabupaten Sragen, Jawa Tengah  57252",,,,,,,,,active,-7.445209284,111.0709156,57252,JAWA TENGAH,,,Sragen,,
KLN.HHC,Klinik Handoko Health Care,"Cabakan, Sengon, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454",,,,,,,,,active,-7.767724164,110.5282424,57454,JAWA TENGAH,,,Klaten,85643855568,
KLN.KIA,Klinik Ibu dan Anak Solo Peduli,"Gendingan, Jl. Petir, RT.01/RW.14, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126",,,,,,,,,active,-7.56193761,110.8505074,57126,JAWA TENGAH,,,Surakarta,,
KLN.NGDSHT,Klinik Pratama Ngudi Sehat,"Jl. Palagan Tentara Pelajar No.45, Rw. II, Sanggrahan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.58403424,110.7945407,57552,JAWA TENGAH,,,SUKOHARJO,,
KPR.LP,Koperasi LP,Jl. Slamet Riyadi No. 18,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Surakarta,632530,
KPRS.BG,Koperasi Brigif VI SKH,"Jl. Brigif No.6, Rejosari, Palur, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554",,,,,,,,,active,-7.574486563,110.8613029,57554,JAWA TENGAH,,,SKH,,
KPRS.MKSRY,Kop. KSU Mekar Surya,"Jl. Karanganyar - Matesih, Temu Ireng, Tegalgede, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57714",,,,,,,,,active,-7.611030369,110.9719445,57714,JAWA TENGAH,,,Kra,,
KPRS.RSNM,Koperasi RS. Nirmala Suri,"Jl. Solo-Sukoharjo No.Km. 9, Ngepeng, Sidorejo, Kec. Bendosari, Kabupaten Sukoharjo, Jawa Tengah 57527",,,,,,,,,active,-7.646761434,110.8311031,57527,JAWA TENGAH,,,SKH,,
KPRS.TS,Koperasi Tiga Serangkai,"Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57141",,,,,,,,,active,-7.564886051,110.8139772,57141,JAWA TENGAH,,,,,
KPS.IKB,Koperasi IKABA,KAmpus UNIBA Jl. Agus Salim No. 1,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Surakarta,0271 714751,
KPS.MRT,Koperasi Mart,"Jl. Kasunanan No 1, Colomadu",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KRA,081325516007/ M. Miki,
KPU.KNDL,KPU. Kab. Kendal,"Jl. Raya Soekarno-Hatta No.337, Kempil, Langenharjo, Kec. Kendal, Kabupaten Kendal, Jawa Tengah 51314",,,,,,,,,active,-6.921899851,110.1961419,51314,JAWA TENGAH,,,Kendal,,
KS.212,Koperasi Syariah 212 Mart,"Colomadu, Fajar Indah",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KRA,,
MM.AKHF,Minimarket Al Kahfi,Jl. Sidoarjo 02/07,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Wonogiri,82226134964,
MM.AWGG,Mini Market Awangga,"Gondang Baru, Kedung Jeruk, SGN",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sragen,,
MM.BKTSHT,MINIMARKET BAKTI SEHAT,"Jalan, Satu, Dalangan, Tawangsari, Sukoharjo Regency, Central Java 57561",,,,,,,,,active,-7.718338671,110.8098277,57561,JAWA TENGAH,,,SUKOHARJO,,
MM.BRKH,Mini MArket Berkah,"Unnamed Road, Jl. Wates-Grogol, Grogol, Kenokorejo, Kec. Polokarto, Kabupaten Sukoharjo, Jawa Tengah 57555",,,,,,,,,active,-7.667675407,110.8835292,57555,JAWA TENGAH,,,Sukoharjo,8562536465,
MM.BTY,Mini Market Batiya I,"Triagan Mojolaban, JAten, KRA",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KRA,0271 6820058,
MM.DSTY,Mini MArket Dasty,"Jl. A. YAni no. 1, SKA",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Surakarta,,
MM.INDTM,Mini Market Indotama,"Jl. WR. Supratman No.150, Sawahan, Kudu, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556",,,,,,,,,active,-7.611872319,110.7834771,57556,JAWA TENGAH,,,Sukoharjo,0271 6255003,
MM.JY,Mini Market Jaya (Berkah Jaya),"Grogol 02/05, KENOKOREJO, POLOKARTO",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,SUKOHARJO,81229876955,
mm.kprikd,Mini Market KPRI KD KOTA,jl. A.Yani no. 104 A Pacitan,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,pacitan,3573232099,
MM.NJW,Mini Market NAjwa,"Perum griya adi A 03, Dusun III, Jaten, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57731",,,,,,,,tutup permanen,deleted,,,57731,JAWA TENGAH,,,Karanganyar,0271 6491801,
MM.NYL,Mini MArket Nayla,"Jalan H.Muslich, Wonorejo, Jatisobo, Polokarto, Jenggong, Wonorejo, Kec. Polokarto, Kabupaten Sukoharjo, Jawa Tengah 57555",,,,,,,,,active,-7.62318156,110.893325,57555,JAWA TENGAH,,,Sukoharjo,,
MM.PW,Mini Market Panti Waluyo,Surakarta,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,,,
MM.S-SM,Mini MArket S-Smart,"Jl. Jend. Sudirman, Gadingan, Jombor, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57521",,,,,,,,,active,-7.668932415,110.8375526,57521,JAWA TENGAH,,,Sukoharjo,0271 593132,
MM.SNRM,Mini Market Sinar Mentari,"Jl. Lawu No.177, Bejen, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57716",,,,,,,,,active,-7.603260077,110.9708713,57716,JAWA TENGAH,,,KAranganyar,0271 494394,
MM.SSW,MINI MARKET SISWA,"Jl. Jend. A. Yani, Krajan, Pacitan, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63511",,,,,,,, ,active,-8.195707096,111.1008858,63511,JAWA TENGAH,,,PACITAN,,
MM.WM,Mini Market W-Mart (CV W Mart),Jl. KApt. Mulyadi 06/02 Kd.Lumbu,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Surakarta,,
PBF.ABB,PT. Anugerah Bina Bersama,"Jl. Brigjen Sudiarto No.156, Danukusuman, Kec. Serengan, Kota Surakarta, Jawa Tengah 57156",,,,,,,,,active,-7.590010764,110.823205,57156,JAWA TENGAH,,,"Nusukan, Banjarsari",0271 3020272,
PBF.AWATK,"PT. Addas Waras Abad Tiga, (K)","Jl. Perintis Kemerdekaan No.45, Sondakan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57147",,,,,,,,,active,-7.567231131,110.7982143,57147,JAWA TENGAH,,,Sukoharjo,0271 7892245 / 085725300488,
PBF.BAB,PT. Bangkit Anugerah Bersama,"Jl. Tarumanegara Utama No.63, Banyuanyar, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57137",,,,,,,,,active,-7.535704774,110.8043477,57137,JAWA TENGAH,,,Surakarta,271735042,
PBF.BKM2,PT. Bersama Kita Melangkah,"ceplukan, Geplukan, Wonorejo, Kec. Gondangrejo, Kabupaten Karanganyar, Jawa Tengah 57136",,,,,,,,,active,-7.528773144,110.8273265,57136,JAWA TENGAH,,,"Gondangrejo, KRA",0271 852189,
